addressLocality,latitude,longitude,price,property-beds,property-baths,property-sqft,Basement,Bath,Exterior,Exterior Features,Features,Fireplace,Heating,Partial Bathroom,Property Tax,Property Type,Roof,Sewer,Square Footage,Type,Parking,Flooring,Parking Features,Fireplace Features
St. John's,47.566742,-52.769271,289900.0,5.0,3.0,1675.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Mixed Flooring""]",[],[]
St. John's,47.536586,-52.755753,359900.0,5.0,2.0,2346.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Other""]",Yes,"[""Baseboard heaters"", ""Oil"", ""Electric"", ""Wood""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Other""]","[""Laminate"", ""Other"", ""Mixed Flooring""]","[""Other""]",[]
Paradise,47.5437121,-52.9041562,399000.0,5.0,4.0,2140.0,,1.0,Vinyl siding,Vinyl siding,Vinyl siding,,Electric,1.0,,Single Family,,Municipal sewage system,,Single Family,,"Laminate, Other, Mixed Flooring",,
Paradise,47.5252668,-52.8906806,424900.0,5.0,3.0,2089.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],[],,Single Family,[],"[""Other""]",[],[]
St. John's,47.594431,-52.70595,429900.0,3.0,3.0,2618.0,,1.0,"Brick, Vinyl siding","Brick, Vinyl siding","Brick, Vinyl siding",,"Hot water radiator heat, Baseboard heaters, Electric",1.0,,Single Family,,Municipal sewage system,,Single Family,,Mixed Flooring,,
St. John's,47.558369,-52.718269,349900.0,3.0,2.0,2346.0,[],1.0,"[""Other""]","[""Other""]",[],[],"[""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Ceramic Tile""]",[],[]
St. John's,47.60665,-52.748371,479900.0,2.0,2.0,1227.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage""]",[],"[""Heat Pump"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Laminate""]","[""Attached Garage""]",[]
St. John's,47.4947925,-52.7994534,619900.0,4.0,3.0,3040.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage""]",[],"[""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Laminate"", ""Ceramic Tile""]","[""Attached Garage""]",[]
Paradise,47.537146,-52.874777,389900.0,4.0,2.0,1748.0,[],0.0,[],[],[],[],"[""Baseboard heaters""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Laminate"", ""Ceramic Tile""]",[],[]
St. John's,47.526195,-52.775182,369900.0,5.0,2.0,2372.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],Yes,"[""Hot water radiator heat"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Other""]",[],[]
Paradise,47.5433904,-52.9097895,829900.0,3.0,3.0,3492.0,[],0.0,"[""Brick"", ""Vinyl siding""]","[""Brick"", ""Vinyl siding""]","[""Attached Garage""]",Yes,"[""Heat Pump"", ""Propane""]",0.0,,Single Family,[],"[""Septic tank""]",,Single Family,"[""Attached Garage""]","[""Hardwood"", ""Ceramic Tile""]","[""Attached Garage""]","[""Insert"", ""Propane""]"
St. John's,47.5625761,-52.7155449,449000.0,3.0,3.0,1563.0,,1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Parking Space(s)""]",[],"[""Electric""]",1.0,,Condo,,"[""Municipal sewage system""]",,Condo,"[""Parking Space(s)""]","[""Concrete Slab""]","[""Parking Space(s)""]",[]
St. John's,47.555159,-52.722727,269900.0,3.0,1.0,1850.0,[],0.0,"[""Other""]","[""Other""]",[],[],"[""Hot water radiator heat"", ""Baseboard heaters"", ""Radiator""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Mixed Flooring""]",[],[]
St. John's,47.506756,-52.75369,329900.0,4.0,3.0,1280.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Other"", ""Mixed Flooring""]",[],[]
St. John's,47.557975,-52.735041,290000.0,3.0,1.0,2500.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Oil""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Mixed Flooring""]",[],[]
St. John's,47.554721,-52.723668,330000.0,4.0,2.0,2190.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Other""]",[],[]
St. John's,47.457656,-52.778933,329900.0,4.0,2.0,2017.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Mixed Flooring""]",[],[]
St. John's,47.569091,-52.713425,359900.0,3.0,2.0,2000.0,,0.0,"Vinyl siding, Other","Vinyl siding, Other","Vinyl siding, Other",Yes,"Baseboard heaters, Electric",0.0,,Single Family,,Municipal sewage system,,Single Family,,"Laminate, Other",,
Mount Pearl,47.526161,-52.801044,230000.0,3.0,2.0,1275.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Other"", ""Ceramic Tile""]",[],[]
St. John's,47.544285,-52.804404,559900.0,5.0,3.0,2354.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Mixed Flooring""]",[],[]
St. John's,47.59731,-52.731525,399900.0,3.0,3.0,2950.0,,1.0,"Cedar shingles, Wood shingles, Other","Cedar shingles, Wood shingles, Other",Parking Space(s),Yes,"Hot water radiator heat, Baseboard heaters, Radiant heat, Oil, Electric",1.0,,Single Family,,Municipal sewage system,,Single Family,Parking Space(s),"Hardwood, Laminate, Carpeted, Other",Parking Space(s),
Mount Pearl,47.516199,-52.801631,369900.0,5.0,2.0,2704.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],Yes,"[""Baseboard heaters"", ""Radiant heat"", ""Oil""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Other""]",[],"[""Insert"", ""Propane""]"
St. John's,47.5640789,-52.719868,350000.0,3.0,2.0,1778.0,,0.0,"[""Other""]","[""Other""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Condo/Townhome,,"[""Municipal sewage system""]",,Condo/Townhome,[],"[""Hardwood"", ""Ceramic Tile""]",[],[]
St. John's,47.53769,-52.747855,317900.0,3.0,2.0,1650.0,[],0.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]",[],[],"[""Forced air"", ""Oil"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Laminate"", ""Mixed Flooring""]",[],[]
Mount Pearl,47.5310407,-52.8078166,354900.0,3.0,3.0,1670.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Garage""]",[],"[""Baseboard heaters""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Garage""]","[""Laminate"", ""Ceramic Tile""]","[""Garage""]",[]
St. John's,47.593246,-52.729859,60000.0,3.0,1.0,1575.0,[],0.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Other"", ""Mixed Flooring""]",[],[]
St. John's,47.535984,-52.755334,199999.0,4.0,1.0,1440.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Carpeted"", ""Other""]",[],[]
St. John's,47.593261,-52.729929,100000.0,3.0,1.0,1575.0,[],0.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Other"", ""Mixed Flooring""]",[],[]
St. John's,47.592937,-52.729181,100000.0,3.0,1.0,1575.0,[],0.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Other"", ""Mixed Flooring""]",[],[]
Paradise,47.5481868,-52.8938769,79900.0,,0.0,,,,[],[],[],[],,,,Vacant Land,[],[],,Vacant Land,[],[],[],[]
Paradise,47.5325873,-52.903791,459900.0,3.0,4.0,2316.0,[],2.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage"", ""Garage""]",[],"[""Baseboard heaters"", ""Electric""]",2.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage"", ""Garage""]","[""Hardwood"", ""Other"", ""Ceramic Tile""]","[""Attached Garage"", ""Garage""]",[]
ST. JOHN'S,47.565541,-52.76957,314900.0,3.0,2.0,1560.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Carpeted"", ""Other""]",[],[]
St. John's,47.592177,-52.718444,369900.0,5.0,2.0,1860.0,[],0.0,"[""Other""]","[""Other""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Ceramic Tile""]",[],[]
St. John's,47.592362,-52.705765,399900.0,3.0,2.0,2050.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage""]",[],"[""Hot water radiator heat"", ""Radiant heat"", ""Oil""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Hardwood"", ""Carpeted"", ""Other""]","[""Attached Garage""]",[]
St. John's,47.495299,-52.797258,639900.0,3.0,3.0,2771.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage""]",[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Carpeted"", ""Other"", ""Ceramic Tile""]","[""Attached Garage""]",[]
Paradise,47.5293804,-52.8793689,290000.0,2.0,2.0,852.0,,0.0,Vinyl siding,Vinyl siding,Other,,Electric,0.0,,Condo,,Municipal sewage system,,Condo,Other,"Laminate, Other",Other,
